Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
153.0,157.82544398864155,140.69874885445938,174.95213912282372,2015-06-13 04:00:00-04:00
151.0,156.64368417266786,139.5170606601785,173.77030768515723,2015-06-13 05:00:00-04:00
151.0,157.8015822156749,140.67505120376342,174.92811322758638,2015-06-13 06:00:00-04:00
152.0,157.2036374739704,140.07608839144456,174.33118655649622,2015-06-13 07:00:00-04:00
152.0,159.06701794578103,141.9375629966645,176.19647289489757,2015-06-13 08:00:00-04:00
160.0,161.28188791807477,144.15290965695456,178.41086617919498,2015-06-13 09:00:00-04:00
154.0,162.03101506341767,144.90324243690364,179.1587876899317,2015-06-13 10:00:00-04:00
160.0,162.71365992430253,145.58493997397736,179.8423798746277,2015-06-13 11:00:00-04:00
156.0,164.1350599211744,147.0049251523869,181.26519468996187,2015-06-13 12:00:00-04:00
162.0,163.37459529847445,146.24258746971776,180.50660312723113,2015-06-13 13:00:00-04:00
163.0,163.87555576204113,146.74549467129884,181.00561685278342,2015-06-13 14:00:00-04:00
162.0,163.45464728035205,146.3232993035471,180.585995257157,2015-06-13 15:00:00-04:00
160.0,162.94950864065913,145.81789168446824,180.08112559685003,2015-06-13 16:00:00-04:00
165.0,163.38810030920263,146.255637345717,180.52056327268826,2015-06-13 17:00:00-04:00
164.0,164.04676095990055,146.9133873904995,181.1801345293016,2015-06-13 18:00:00-04:00
